name,full-name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first appearance,year,
bito wladon, (new earth),\/wiki\/bito_wladon_(new_earth),secret identity,bad characters,blue eyes,black hair,male characters,,living characters,46,"1962, july",1962,
duncan pramble, (new earth),\/wiki\/duncan_pramble_(new_earth),secret identity,bad characters,hazel eyes,,male characters,,living characters,46,"1960, july",1960,
hooty the owl, (new earth),\/wiki\/hooty_the_owl_(new_earth),,good characters,,brown hair,male characters,,living characters,46,"1941, april",1941,
poseidon, (new earth),\/wiki\/poseidon_(new_earth),public identity,neutral characters,white eyes,white hair,male characters,,living characters,46,"1940, september",1940,
ion, (new earth),\/wiki\/ion_(new_earth),secret identity,good characters,green eyes,,,,deceased characters,45,"2006, april",2006,
ryan choi, (new earth),\/wiki\/ryan_choi_(new_earth),public identity,good characters,brown eyes,black hair,male characters,,living characters,45,"2006, august",2006,
hunter zolomon, (new earth),\/wiki\/hunter_zolomon_(new_earth),secret identity,bad characters,red eyes,brown hair,male characters,,living characters,45,"2001, november",2001,
wendy jones, (new earth),\/wiki\/wendy_jones_(new_earth),public identity,good characters,blue eyes,blond hair,female characters,,deceased characters,45,"1984, april",1984,
doc, (new earth),\/wiki\/doc_(new_earth),public identity,good characters,,,male characters,,living characters,45,"1983, june",1983,
arani desai, (new earth),\/wiki\/arani_desai_(new_earth),secret identity,good characters,blue eyes,black hair,female characters,,deceased characters,45,"1977, september",1977,
duela dent, (earth-3),\/wiki\/duela_dent_(earth-3),secret identity,neutral characters,purple eyes,red hair,female characters,,deceased characters,45,"1976, august",1976,
richard drakunovski, (new earth),\/wiki\/richard_drakunovski_(new_earth),public identity,good characters,blue eyes,red hair,male characters,,living characters,45,"1975, may",1975,
calvin carson, (new earth),\/wiki\/calvin_carson_(new_earth),public identity,good characters,blue eyes,brown hair,male characters,,living characters,45,"1960, august",1960,
gregory sanders, (new earth),\/wiki\/gregory_sanders_(new_earth),secret identity,good characters,brown eyes,brown hair,male characters,,living characters,45,"1941, november",1941,
mist i, (new earth),\/wiki\/mist_i_(new_earth),secret identity,bad characters,blue eyes,white hair,male characters,,deceased characters,45,"1941, october",1941,
rodney gaynor, (new earth),\/wiki\/rodney_gaynor_(new_earth),secret identity,good characters,blue eyes,black hair,male characters,,deceased characters,45,"1940, january",1940,
larfleeze, (new earth),\/wiki\/larfleeze_(new_earth),public identity,neutral characters,yellow eyes,orange hair,male characters,,living characters,44,"2008, june",2008,
elaine marsh-morton, (new earth),\/wiki\/elaine_marsh-morton_(new_earth),secret identity,bad characters,,blond hair,female characters,,living characters,44,"1997, january",1997,
sean noonan, (new earth),\/wiki\/sean_noonan_(new_earth),public identity,good characters,brown eyes,black hair,male characters,,deceased characters,44,1993,1993,
john grayson, (new earth),\/wiki\/john_grayson_(new_earth),public identity,good characters,,black hair,male characters,,deceased characters,44,"1989, august",1989,
morgan edge, (new earth),\/wiki\/morgan_edge_(new_earth),public identity,bad characters,blue eyes,,male characters,,living characters,44,"1988, january",1988,
lara lor-van, (new earth),\/wiki\/lara_lor-van_(new_earth),public identity,,blue eyes,black hair,female characters,,deceased characters,44,"1986, october",1986,
rhosyn forrest, (new earth),\/wiki\/rhosyn_forrest_(new_earth),secret identity,good characters,green eyes,,female characters,,living characters,44,"1986, march",1986,
"william everett, sr.", (new earth),"\/wiki\/william_everett,_sr._(new_earth)",public identity,good characters,brown eyes,black hair,male characters,,deceased characters,44,"1983, july",1983,
selinda flinders, (new earth),\/wiki\/selinda_flinders_(new_earth),secret identity,bad characters,blue eyes,red hair,female characters,,living characters,44,"1981, january",1981,
victoria grant, (new earth),\/wiki\/victoria_grant_(new_earth),,good characters,,blond hair,female characters,,living characters,44,"1981, february",1981,
gavyn, (new earth),\/wiki\/gavyn_(new_earth),secret identity,good characters,blue eyes,blond hair,male characters,,living characters,44,"1980, january",1980,
lisa snart, (new earth),\/wiki\/lisa_snart_(new_earth),,,blue eyes,blond hair,female characters,,deceased characters,44,"1977, june",1977,
karshon, (new earth),\/wiki\/karshon_(new_earth),,bad characters,black eyes,,male characters,,living characters,44,"1963, october",1963,
jon valor, (new earth),\/wiki\/jon_valor_(new_earth),secret identity,good characters,brown eyes,brown hair,male characters,,deceased characters,44,"1940, april",1940,
zilius zox, (new earth),\/wiki\/zilius_zox_(new_earth),public identity,bad characters,yellow eyes,,male characters,,deceased characters,43,"2008, december",2008,
zachary zatara, (new earth),\/wiki\/zachary_zatara_(new_earth),public identity,good characters,green eyes,black hair,male characters,,living characters,43,"2006, may",2006,
alura in-ze, (new earth),\/wiki\/alura_in-ze_(new_earth),public identity,good characters,blue eyes,blond hair,female characters,,deceased characters,43,"2004, june",2004,
axel walker, (new earth),\/wiki\/axel_walker_(new_earth),secret identity,,blue eyes,blond hair,male characters,,living characters,43,"2002, april",2002,
iris west ii, (new earth),\/wiki\/iris_west_ii_(new_earth),secret identity,good characters,green eyes,red hair,female characters,,living characters,43,"1999, march",1999,
borb borbb, (new earth),\/wiki\/borb_borbb_(new_earth),public identity,good characters,,,male characters,,living characters,43,"1991, august",1991,
edward indelicato, (new earth),\/wiki\/edward_indelicato_(new_earth),,good characters,,brown hair,male characters,,living characters,43,"1988, april",1988,
xiang po, (new earth),\/wiki\/xiang_po_(new_earth),secret identity,good characters,red eyes,,female characters,,deceased characters,43,"1988, january",1988,
sandra knight, (new earth),\/wiki\/sandra_knight_(new_earth),secret identity,good characters,black eyes,black hair,female characters,,living characters,43,"1987, june",1987,
elizabeth chapel, (new earth),\/wiki\/elizabeth_chapel_(new_earth),secret identity,good characters,brown eyes,black hair,female characters,,deceased characters,43,"1985, october",1985,
beverly lewis, (new earth),\/wiki\/beverly_lewis_(new_earth),,,green eyes,red hair,female characters,,living characters,43,"1980, may",1980,
teekl, (new earth),\/wiki\/teekl_(new_earth),public identity,neutral characters,red eyes,orange hair,male characters,,living characters,43,"1973, march",1973,
harry matthews, (new earth),\/wiki\/harry_matthews_(new_earth),public identity,good characters,,brown hair,male characters,,living characters,43,"1972, september",1972,
louis kiyahani, (new earth),\/wiki\/louis_kiyahani_(new_earth),public identity,good characters,brown eyes,black hair,male characters,,living characters,43,"1963, february",1963,
emmaline brady, (new earth),\/wiki\/emmaline_brady_(new_earth),public identity,,brown eyes,brown hair,female characters,,living characters,43,"1962, december",1962,
dru-zod ii, (new earth),\/wiki\/dru-zod_ii_(new_earth),public identity,bad characters,black eyes,black hair,male characters,,living characters,43,"1961, april",1961,
jock kellogg, (new earth),\/wiki\/jock_kellogg_(new_earth),secret identity,good characters,,black hair,male characters,,deceased characters,43,"1940, july",1940,
paco testas, (new earth),\/wiki\/paco_testas_(new_earth),public identity,good characters,black eyes,brown hair,male characters,,living characters,42,"2006, february",2006,
mitchell shelley, (new earth),\/wiki\/mitchell_shelley_(new_earth),public identity,good characters,brown eyes,white hair,male characters,,living characters,42,"1997, may",1997,
"roy raymond, jr.", (new earth),"\/wiki\/roy_raymond,_jr._(new_earth)",secret identity,good characters,black eyes,blond hair,male characters,,living characters,42,"1997, february",1997,
audrey spears, (new earth),\/wiki\/audrey_spears_(new_earth),secret identity,good characters,brown eyes,brown hair,female characters,,living characters,42,"1996, october",1996,
nathaniel kane, (new earth),\/wiki\/nathaniel_kane_(new_earth),public identity,good characters,,brown hair,male characters,,living characters,42,"1992, december",1992,
harold allnut, (new earth),\/wiki\/harold_allnut_(new_earth),public identity,good characters,,blond hair,male characters,,deceased characters,42,"1989, december",1989,
william henderson, (new earth),\/wiki\/william_henderson_(new_earth),public identity,good characters,brown eyes,brown hair,male characters,,living characters,42,"1987, january",1987,
helga jace, (new earth),\/wiki\/helga_jace_(new_earth),secret identity,bad characters,blue eyes,grey hair,female characters,,deceased characters,42,"1983, august",1983,
edward raymond, (new earth),\/wiki\/edward_raymond_(new_earth),secret identity,good characters,brown eyes,brown hair,male characters,,living characters,42,"1978, april",1978,
traya sutton, (new earth),\/wiki\/traya_sutton_(new_earth),public identity,good characters,blue eyes,black hair,female characters,,living characters,42,"1978, march",1978,
rac shade, (new earth),\/wiki\/rac_shade_(new_earth),secret identity,good characters,blue eyes,red hair,male characters,,living characters,42,"1977, july",1977,
glorious godfrey, (new earth),\/wiki\/glorious_godfrey_(new_earth),secret identity,bad characters,black eyes,red hair,male characters,,living characters,42,"1971, july",1971,
source, (new earth),\/wiki\/source_(new_earth),secret identity,neutral characters,,,,,living characters,42,"1971, march",1971,
william walker, (new earth),\/wiki\/william_walker_(new_earth),secret identity,neutral characters,black eyes,black hair,male characters,,deceased characters,42,"1971, july",1971,
appa ali apsa, (new earth),\/wiki\/appa_ali_apsa_(new_earth),secret identity,,blue eyes,white hair,male characters,,deceased characters,42,"1970, april",1970,
rama kushna, (new earth),\/wiki\/rama_kushna_(new_earth),public identity,neutral characters,black eyes,black hair,female characters,,living characters,42,"1967, october",1967,
laura de mille, (new earth),\/wiki\/laura_de_mille_(new_earth),secret identity,bad characters,blue eyes,black hair,female characters,,deceased characters,42,"1964, march",1964,
june robbins, (new earth),\/wiki\/june_robbins_(new_earth),secret identity,good characters,blue eyes,strawberry blond hair,female characters,,living characters,42,"1957, april",1957,
janu, (new earth),\/wiki\/janu_(new_earth),public identity,good characters,black eyes,brown hair,male characters,,living characters,42,"1954, april",1954,
myra mason, (new earth),\/wiki\/myra_mason_(new_earth),public identity,good characters,blue eyes,blond hair,female characters,,deceased characters,42,"1941, april",1941,
iroque, (new earth),\/wiki\/iroque_(new_earth),secret identity,neutral characters,,purple hair,female characters,,living characters,41,"2008, january",2008,
sayd, (new earth),\/wiki\/sayd_(new_earth),public identity,good characters,green eyes,white hair,female characters,,living characters,41,"2007, august",2007,
veronica cale, (new earth),\/wiki\/veronica_cale_(new_earth),public identity,,blue eyes,blond hair,female characters,,living characters,41,"2003, november",2003,
catalina flores, (new earth),\/wiki\/catalina_flores_(new_earth),secret identity,good characters,brown eyes,black hair,female characters,,deceased characters,41,"2002, september",2002,
manitou raven, (new earth),\/wiki\/manitou_raven_(new_earth),secret identity,good characters,white eyes,black hair,male characters,,deceased characters,41,"2002, july",2002,
josephine macdonald, (new earth),\/wiki\/josephine_macdonald_(new_earth),public identity,good characters,brown eyes,black hair,female characters,,living characters,41,"2001, december",2001,
dana winters, (new earth),\/wiki\/dana_winters_(new_earth),,,,,female characters,,deceased characters,41,"1994, december",1994,
ariana dzerchenko, (new earth),\/wiki\/ariana_dzerchenko_(new_earth),public identity,good characters,blue eyes,black hair,female characters,,living characters,41,"1992, december",1992,
demeter, (new earth),\/wiki\/demeter_(new_earth),public identity,neutral characters,brown eyes,,female characters,,living characters,41,"1985, october",1985,
lazarus lane, (new earth),\/wiki\/lazarus_lane_(new_earth),secret identity,good characters,blue eyes,black hair,male characters,,deceased characters,41,"1970, november",1970,
patrick macguire ii, (new earth),\/wiki\/patrick_macguire_ii_(new_earth),secret identity,good characters,,red hair,male characters,,living characters,41,"1970, october",1970,
abel, (new earth),\/wiki\/abel_(new_earth),secret identity,neutral characters,blue eyes,black hair,male characters,,living characters,41,"1969, july",1969,
strong bow, (new earth),\/wiki\/strong_bow_(new_earth),public identity,good characters,brown eyes,black hair,male characters,,deceased characters,41,"1951, may",1951,
phoebus apollo, (new earth),\/wiki\/phoebus_apollo_(new_earth),public identity,neutral characters,blue eyes,blond hair,male characters,,living characters,41,"1941, december",1941,
arthur pendragon, (new earth),\/wiki\/arthur_pendragon_(new_earth),public identity,good characters,brown eyes,brown hair,male characters,,living characters,41,"1936, february",1936,
brenda del vecchio, (new earth),\/wiki\/brenda_del_vecchio_(new_earth),public identity,good characters,brown eyes,red hair,female characters,,living characters,40,"2006, february",2006,
jai west, (new earth),\/wiki\/jai_west_(new_earth),public identity,good characters,brown eyes,black hair,male characters,,living characters,40,"2005, october",2005,
jessica midnight, (new earth),\/wiki\/jessica_midnight_(new_earth),public identity,good characters,blue eyes,black hair,female characters,,living characters,40,"2002, october",2002,
anthony woodward, (new earth),\/wiki\/anthony_woodward_(new_earth),secret identity,bad characters,yellow eyes,,male characters,,living characters,40,"2001, august",2001,
stacy, (new earth),\/wiki\/stacy_(new_earth),public identity,neutral characters,green eyes,red hair,female characters,,living characters,40,"2000, march",2000,
serling roquette, (new earth),\/wiki\/serling_roquette_(new_earth),,,,blond hair,female characters,,living characters,40,"1998, october",1998,
thaddeus ryerstad, (new earth),\/wiki\/thaddeus_ryerstad_(new_earth),,bad characters,,blond hair,male characters,,living characters,40,"1997, may",1997,
mongul ii, (new earth),\/wiki\/mongul_ii_(new_earth),public identity,bad characters,white eyes,,male characters,,living characters,40,"1995, september",1995,
donna carol force, (new earth),\/wiki\/donna_carol_force_(new_earth),public identity,good characters,blue eyes,brown hair,female characters,,living characters,40,1993,1993,
maurice douglas, (new earth),\/wiki\/maurice_douglas_(new_earth),public identity,good characters,,brown hair,male characters,,deceased characters,40,"1992, october",1992,
eric strauss, (new earth),\/wiki\/eric_strauss_(new_earth),secret identity,good characters,,brown hair,male characters,,living characters,40,"1987, july",1987,
alexander sartorius, (new earth),\/wiki\/alexander_sartorius_(new_earth),public identity,bad characters,red eyes,,male characters,,living characters,40,"1977, may",1977,
mariah romanova, (new earth),\/wiki\/mariah_romanova_(new_earth),public identity,good characters,blue eyes,red hair,female characters,,living characters,40,"1977, may",1977,
jenet klyburn, (new earth),\/wiki\/jenet_klyburn_(new_earth),public identity,,blue eyes,red hair,female characters,,living characters,40,"1976, october",1976,
christopher chance, (new earth),\/wiki\/christopher_chance_(new_earth),public identity,good characters,blue eyes,black hair,male characters,,living characters,40,"1972, december",1972,
thomas thompkins ii, (new earth),\/wiki\/thomas_thompkins_ii_(new_earth),secret identity,good characters,,brown hair,male characters,,living characters,40,"1970, october",1970,
eve aries, (pre-zero hour),\/wiki\/eve_aries_(pre-zero_hour),public identity,bad characters,green eyes,red hair,female characters,,living characters,40,"1961, august",1961,
harold shapiro, (new earth),\/wiki\/harold_shapiro_(new_earth),public identity,good characters,blue eyes,red hair,male characters,,living characters,40,"1961, december",1961,
skallox, (new earth),\/wiki\/skallox_(new_earth),public identity,bad characters,yellow eyes,,male characters,,living characters,39,"2008, december",2008,
ursa, (new earth),\/wiki\/ursa_(new_earth),public identity,bad characters,brown eyes,brown hair,female characters,,living characters,39,"2007, january",2007,
amon tomaz, (new earth),\/wiki\/amon_tomaz_(new_earth),secret identity,bad characters,brown eyes,brown hair,male characters,,living characters,39,"2006, october",2006,
fang zhifu, (new earth),\/wiki\/fang_zhifu_(new_earth),secret identity,,,,male characters,,living characters,39,"2006, june",2006,
taleb beni khalid, (new earth),\/wiki\/taleb_beni_khalid_(new_earth),secret identity,neutral characters,brown eyes,brown hair,male characters,,living characters,39,"2006, june",2006,
faith, (new earth),\/wiki\/faith_(new_earth),secret identity,,brown eyes,brown hair,female characters,,living characters,39,"2002, october",2002,
dudley soames, (new earth),\/wiki\/dudley_soames_(new_earth),public identity,bad characters,hazel eyes,brown hair,male characters,,deceased characters,39,"1996, october",1996,
preston lindsay, (new earth),\/wiki\/preston_lindsay_(new_earth),public identity,good characters,blue eyes,blond hair,male characters,,living characters,39,"1995, april",1995,
william everett iii, (new earth),\/wiki\/william_everett_iii_(new_earth),secret identity,good characters,brown eyes,black hair,male characters,,deceased characters,39,"1994, march",1994,
frieda goren, (dakotaverse),\/wiki\/frieda_goren_(dakotaverse),public identity,good characters,green eyes,red hair,female characters,,living characters,39,"1993, june",1993,
richard craemer, (new earth),\/wiki\/richard_craemer_(new_earth),public identity,good characters,,brown hair,male characters,,living characters,39,"1988, february",1988,
artemis crock, (new earth),\/wiki\/artemis_crock_(new_earth),secret identity,bad characters,blue eyes,,female characters,,living characters,39,"1987, january",1987,
menalippe, (new earth),\/wiki\/menalippe_(new_earth),public identity,good characters,,,female characters,homosexual characters,deceased characters,39,"1987, february",1987,
sydney happersen, (new earth),\/wiki\/sydney_happersen_(new_earth),public identity,,,black hair,male characters,,deceased characters,39,"1987, february",1987,
shilo norman, (new earth),\/wiki\/shilo_norman_(new_earth),public identity,good characters,brown eyes,black hair,male characters,,living characters,39,"1973, september",1973,
john dee, (new earth),\/wiki\/john_dee_(new_earth),secret identity,bad characters,brown eyes,brown hair,male characters,,living characters,39,"1961, july",1961,
tegra kalmaku, (new earth),\/wiki\/tegra_kalmaku_(new_earth),public identity,good characters,,black hair,female characters,,living characters,39,"1961, august",1961,
robert daley, (new earth),\/wiki\/robert_daley_(new_earth),secret identity,good characters,,,male characters,,living characters,39,"1938, july",1938,
adrianna tomaz, (new earth),\/wiki\/adrianna_tomaz_(new_earth),public identity,neutral characters,brown eyes,brown hair,female characters,,deceased characters,38,"2006, may",2006,
brainiac 8, (new earth),\/wiki\/brainiac_8_(new_earth),secret identity,good characters,red eyes,pink hair,female characters,,deceased characters,38,"2003, july",2003,
amy rohrbach, (new earth),\/wiki\/amy_rohrbach_(new_earth),public identity,good characters,,brown hair,female characters,,living characters,38,"2000, october",2000,
davroth catto, (new earth),\/wiki\/davroth_catto_(new_earth),public identity,good characters,,brown hair,male characters,,living characters,38,"1991, august",1991,
zena moonstruk, (new earth),\/wiki\/zena_moonstruk_(new_earth),public identity,good characters,,white hair,female characters,,living characters,38,"1991, august",1991,
aleea strange, (new earth),\/wiki\/aleea_strange_(new_earth),public identity,good characters,blue eyes,blond hair,female characters,,living characters,38,"1990, may",1990,
anatoli knyazev, (new earth),\/wiki\/anatoli_knyazev_(new_earth),public identity,bad characters,brown eyes,blond hair,male characters,,deceased characters,38,"1988, march",1988,
james cameron, (new earth),\/wiki\/james_cameron_(new_earth),public identity,good characters,,brown hair,male characters,,living characters,38,"1987, september",1987,
sigrid nansen, (new earth),\/wiki\/sigrid_nansen_(new_earth),public identity,good characters,blue eyes,white hair,female characters,bisexual characters,living characters,38,"1986, november",1986,
kole weathers, (new earth),\/wiki\/kole_weathers_(new_earth),secret identity,good characters,blue eyes,red hair,female characters,,deceased characters,38,"1985, june",1985,
predator, (new earth),\/wiki\/predator_(new_earth),,,,,,,deceased characters,38,"1984, july",1984,
arthur hall, (new earth),\/wiki\/arthur_hall_(new_earth),public identity,good characters,brown eyes,white hair,male characters,,living characters,38,"1982, december",1982,
robert reed, (new earth),\/wiki\/robert_reed_(new_earth),secret identity,good characters,,blond hair,male characters,,living characters,38,"1966, january",1966,
james jordan, (new earth),\/wiki\/james_jordan_(new_earth),,good characters,,brown hair,male characters,,living characters,38,"1961, december",1961,
solovar, (new earth),\/wiki\/solovar_(new_earth),secret identity,,,black hair,male characters,,deceased characters,38,"1959, may",1959,
cyril sheldrake, (new earth),\/wiki\/cyril_sheldrake_(new_earth),secret identity,good characters,brown eyes,brown hair,male characters,,deceased characters,38,"1950, december",1950,
mister mind, (new earth),\/wiki\/mister_mind_(new_earth),secret identity,bad characters,red eyes,,male characters,,living characters,38,"1943, march",1943,
keith everet, (new earth),\/wiki\/keith_everet_(new_earth),secret identity,good characters,,brown hair,male characters,,living characters,38,"1942, january",1942,
thara ak-var, (new earth),\/wiki\/thara_ak-var_(new_earth),secret identity,good characters,brown eyes,brown hair,female characters,,deceased characters,37,"2008, december",2008,
amy allen, (new earth),\/wiki\/amy_allen_(new_earth),secret identity,neutral characters,blue eyes,brown hair,female characters,,living characters,37,"2006, november",2006,
isaiah crockett, (new earth),\/wiki\/isaiah_crockett_(new_earth),secret identity,good characters,brown eyes,brown hair,male characters,,living characters,37,"1996, october",1996,
azrael, (new earth),\/wiki\/azrael_(new_earth),public identity,neutral characters,gold eyes,black hair,male characters,,living characters,37,"1985, april",1985,
lonocelu ospho, (new earth),\/wiki\/lonocelu_ospho_(new_earth),public identity,good characters,,,male characters,,living characters,37,"1985, may",1985,
jemm, (new earth),\/wiki\/jemm_(new_earth),public identity,good characters,yellow eyes,,male characters,,living characters,37,"1984, september",1984,
elizabeth tremayne, (new earth),\/wiki\/elizabeth_tremayne_(new_earth),public identity,good characters,blue eyes,red hair,female characters,,living characters,37,"1982, july",1982,
kathleen sutton, (new earth),\/wiki\/kathleen_sutton_(new_earth),public identity,good characters,,blond hair,female characters,,living characters,37,"1973, july",1973,
walter johnson ii, (new earth),\/wiki\/walter_johnson_ii_(new_earth),secret identity,good characters,brown eyes,black hair,male characters,,living characters,37,"1970, october",1970,
bat-mite, (new earth),\/wiki\/bat-mite_(new_earth),secret identity,good characters,black eyes,,male characters,,living characters,37,"1959, may",1959,
lawrence crock, (new earth),\/wiki\/lawrence_crock_(new_earth),secret identity,bad characters,brown eyes,brown hair,male characters,,living characters,37,"1947, may",1947,
lance gallant, (earth-x),\/wiki\/lance_gallant_(earth-x),secret identity,good characters,blue eyes,blond hair,male characters,,living characters,37,"1943, january",1943,
john jones, (new earth),\/wiki\/john_jones_(new_earth),public identity,good characters,black eyes,,male characters,,living characters,37,"1942, august",1942,
joan dale, (new earth),\/wiki\/joan_dale_(new_earth),secret identity,good characters,blue eyes,black hair,female characters,,living characters,37,"1941, august",1941,
lawrence belmont, (new earth),\/wiki\/lawrence_belmont_(new_earth),public identity,good characters,blue eyes,brown hair,male characters,,living characters,37,"1940, february",1940,
munk, (new earth),\/wiki\/munk_(new_earth),secret identity,good characters,white eyes,,male characters,,living characters,36,"2008, january",2008,
non, (new earth),\/wiki\/non_(new_earth),public identity,bad characters,blue eyes,black hair,male characters,,living characters,36,"2007, january",2007,
andrew franklin, (new earth),\/wiki\/andrew_franklin_(new_earth),secret identity,good characters,,,male characters,,living characters,36,"2006, june",2006,
charlotte gage-radcliffe, (new earth),\/wiki\/charlotte_gage-radcliffe_(new_earth),secret identity,good characters,blue eyes,red hair,female characters,,living characters,36,"2006, september",2006,
stormy knight, (new earth),\/wiki\/stormy_knight_(new_earth),public identity,good characters,blue eyes,black hair,female characters,,living characters,36,"2006, june",2006,
ramsey robinson, (new earth),\/wiki\/ramsey_robinson_(new_earth),secret identity,good characters,blue eyes,black hair,male characters,homosexual characters,living characters,36,"2004, november",2004,
zor-el, (new earth),\/wiki\/zor-el_(new_earth),public identity,good characters,blue eyes,blond hair,male characters,,deceased characters,36,"2004, june",2004,
bridget clancy, (new earth),\/wiki\/bridget_clancy_(new_earth),,good characters,,black hair,female characters,,living characters,36,"1996, november",1996,
merayn dethalis, (new earth),\/wiki\/merayn_dethalis_(new_earth),public identity,good characters,yellow eyes,purple hair,female characters,,living characters,36,"1993, december",1993,
robert hinckley long, (new earth),\/wiki\/robert_hinckley_long_(new_earth),public identity,neutral characters,black eyes,red hair,male characters,,deceased characters,36,"1992, september",1992,
shado, (new earth),\/wiki\/shado_(new_earth),secret identity,neutral characters,brown eyes,black hair,female characters,,living characters,36,"1987, august",1987,
sarah simms, (new earth),\/wiki\/sarah_simms_(new_earth),public identity,good characters,blue eyes,blond hair,female characters,,living characters,36,"1981, june",1981,
maximillian zeus, (new earth),\/wiki\/maximillian_zeus_(new_earth),public identity,bad characters,brown eyes,brown hair,male characters,,living characters,36,"1979, may",1979,
joshua morgan, (new earth),\/wiki\/joshua_morgan_(new_earth),,good characters,,red hair,male characters,,living characters,36,"1978, november",1978,
tobias whale, (new earth),\/wiki\/tobias_whale_(new_earth),public identity,bad characters,pink eyes,,male characters,,living characters,36,"1977, april",1977,
glenda mark, (new earth),\/wiki\/glenda_mark_(new_earth),public identity,good characters,blue eyes,blond hair,female characters,,living characters,36,"1972, september",1972,
bruno mannheim, (new earth),\/wiki\/bruno_mannheim_(new_earth),public identity,bad characters,,,male characters,,deceased characters,36,"1971, july",1971,
anthony rodriguez ii, (new earth),\/wiki\/anthony_rodriguez_ii_(new_earth),secret identity,good characters,brown eyes,brown hair,male characters,,living characters,36,"1970, october",1970,
anthro, (new earth),\/wiki\/anthro_(new_earth),public identity,good characters,brown eyes,brown hair,male characters,,deceased characters,36,"1968, may",1968,
mordru, (new earth),\/wiki\/mordru_(new_earth),public identity,bad characters,hazel eyes,,male characters,,living characters,36,"1968, june",1968,
mark desmond, (new earth),\/wiki\/mark_desmond_(new_earth),public identity,bad characters,hazel eyes,brown hair,male characters,,deceased characters,36,"1965, november",1965,
larvox, (new earth),\/wiki\/larvox_(new_earth),public identity,good characters,black eyes,orange hair,genderless characters,,living characters,36,"1961, december",1961,
hephaestus, (new earth),\/wiki\/hephaestus_(new_earth),public identity,neutral characters,blue eyes,white hair,male characters,,living characters,36,"1941, december",1941,
thomas ludlow hallaway, (new earth),\/wiki\/thomas_ludlow_hallaway_(new_earth),secret identity,bad characters,brown eyes,brown hair,male characters,,deceased characters,36,"1940, may",1940,
jeannette, (new earth),\/wiki\/jeannette_(new_earth),secret identity,bad characters,blue eyes,white hair,female characters,,living characters,35,"2009, january",2009,
dex-starr, (new earth),\/wiki\/dex-starr_(new_earth),public identity,bad characters,yellow eyes,blue hair,male characters,,living characters,35,"2008, december",2008,
michael lane, (new earth),\/wiki\/michael_lane_(new_earth),secret identity,good characters,brown eyes,black hair,male characters,,living characters,35,"2007, june",2007,
arthur joseph curry, (new earth),\/wiki\/arthur_joseph_curry_(new_earth),secret identity,good characters,blue eyes,blond hair,male characters,,living characters,35,"2006, may",2006,
frederick chyre, (new earth),\/wiki\/frederick_chyre_(new_earth),public identity,good characters,blue eyes,grey hair,male characters,,living characters,35,"2000, september",2000,
beryl hutchinson, (new earth),\/wiki\/beryl_hutchinson_(new_earth),secret identity,good characters,blue eyes,red hair,female characters,,living characters,35,"1999, february",1999,
mickey cannon, (new earth),\/wiki\/mickey_cannon_(new_earth),,good characters,,brown hair,male characters,,living characters,35,"1998, october",1998,
carla white, (new earth),\/wiki\/carla_white_(new_earth),public identity,good characters,brown eyes,brown hair,female characters,,living characters,35,"1992, october",1992,
jeffrey smith, (new earth),\/wiki\/jeffrey_smith_(new_earth),public identity,good characters,brown eyes,black hair,male characters,,living characters,35,"1990, february",1990,
delilah tyler, (new earth),\/wiki\/delilah_tyler_(new_earth),secret identity,good characters,brown eyes,black hair,female characters,,deceased characters,35,"1989, january",1989,
myra connelly, (new earth),\/wiki\/myra_connelly_(new_earth),public identity,,blue eyes,,female characters,,living characters,35,"1987, february",1987,
rhea jones, (new earth),\/wiki\/rhea_jones_(new_earth),secret identity,good characters,white eyes,red hair,female characters,,living characters,35,"1987, december",1987,
varix, (new earth),\/wiki\/varix_(new_earth),public identity,good characters,,white hair,male characters,,deceased characters,35,1986,1986,
gardner grayle, (new earth),\/wiki\/gardner_grayle_(new_earth),secret identity,good characters,blue eyes,red hair,male characters,,living characters,35,"1983, may",1983,
lady chian, (new earth),\/wiki\/lady_chian_(new_earth),,good characters,black eyes,black hair,female characters,,living characters,35,"1982, march",1982,
sebastian blood viii, (new earth),\/wiki\/sebastian_blood_viii_(new_earth),secret identity,bad characters,grey eyes,black hair,male characters,,deceased characters,35,"1982, july",1982,
laura neilsen, (new earth),\/wiki\/laura_neilsen_(new_earth),public identity,good characters,blue eyes,white hair,female characters,,deceased characters,35,"1971, february",1971,
general immortus, (new earth),\/wiki\/general_immortus_(new_earth),secret identity,bad characters,blue eyes,,male characters,,living characters,35,"1963, june",1963,
elsa magnusson, (new earth),\/wiki\/elsa_magnusson_(new_earth),,good characters,,,female characters,,living characters,35,"1959, august",1959,
mary james, (new earth),\/wiki\/mary_james_(new_earth),public identity,good characters,blue eyes,strawberry blond hair,female characters,,deceased characters,35,"1940, october",1940,
frankenstein, (new earth),\/wiki\/frankenstein_(new_earth),public identity,good characters,brown eyes,black hair,male characters,,living characters,34,"2006, january",2006,
prometheus, (new earth),\/wiki\/prometheus_(new_earth),secret identity,bad characters,blue eyes,white hair,male characters,,deceased characters,34,"1998, february",1998,
samuel makoa, (new earth),\/wiki\/samuel_makoa_(new_earth),public identity,good characters,black eyes,black hair,male characters,,living characters,34,"1994, february",1994,
