name,full-name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first appearance,year
minn-erva, (earth-616),\/minn-erva_(earth-616),public identity,bad characters,blue eyes,black hair,female characters,,living characters,16,May-77,1977
primus, (earth-616),\/primus_(android)_(earth-616),secret identity,neutral characters,yellow eyes,no hair,male characters,,living characters,16,May-77,1977
vakume, (earth-616),\/vakume_(earth-616),secret identity,good characters,,,male characters,,living characters,16,Sep-77,1977
belladonna, (earth-616),\/belladonna_(microverse)_(earth-616),,bad characters,,white hair,female characters,,deceased characters,16,Mar-79,1979
jonas hale, (earth-616),\/jonas_hale_(earth-616),secret identity,bad characters,,brown hair,male characters,,living characters,16,Mar-79,1979
sarah clark, (earth-616),\/sarah_clark_(earth-616),public identity,good characters,,auburn hair,female characters,,deceased characters,16,Dec-79,1979
scotty mcdowell, (earth-616),\/scotty_mcdowell_(earth-616),secret identity,neutral characters,,brown hair,male characters,,living characters,16,Dec-79,1979
abdul qamar, (earth-616),\/abdul_qamar_(earth-616),secret identity,good characters,brown eyes,black hair,male characters,,deceased characters,16,Aug-80,1980
dennis bukowski, (earth-616),\/dennis_bukowski_(earth-616),no dual identity,neutral characters,,red hair,male characters,,living characters,16,Mar-80,1980
degrayde, (earth-616),\/degrayde_(earth-616),public identity,bad characters,,bald,male characters,,living characters,16,Oct-81,1981
james marks, (earth-616),\/james_marks_(earth-616),secret identity,bad characters,blue eyes,blond hair,male characters,,living characters,16,Apr-81,1981
nanotron, (earth-616),\/nanotron,public identity,good characters,,,female characters,,deceased characters,16,Jun-81,1981
varnae, (earth-616),\/varnae_(earth-616),secret identity,bad characters,red eyes,green hair,male characters,,living characters,16,Dec-82,1982
arthur blackwood, (earth-616),\/arthur_blackwood_(earth-616),secret identity,bad characters,blue eyes,brown hair,male characters,,living characters,16,Apr-83,1983
gregory nettles, (earth-616),\/gregory_nettles_(earth-616),public identity,bad characters,brown eyes,brown hair,male characters,,deceased characters,16,Feb-83,1983
melina vostokoff, (earth-616),\/melina_vostokoff_(earth-616),secret identity,bad characters,,,female characters,,living characters,16,Nov-83,1983
red queen, (earth-616),\/red_queen_(earth-616),,bad characters,,red hair,female characters,,living characters,16,Apr-84,1984
tweedledope, (earth-616),\/tweedledope_(earth-616),,,,,male characters,,living characters,16,Apr-84,1984
ape, (earth-616),\/ape_(morlock)_(earth-616),,neutral characters,,,male characters,,deceased characters,16,Jul-85,1985
gilpetperdon, (earth-616),\/gilpetperdon_(earth-616),secret identity,bad characters,gold eyes,gold hair,male characters,,living characters,16,May-85,1985
leir, (earth-616),\/leir_(earth-616),secret identity,good characters,blue eyes,auburn hair,male characters,,living characters,16,Dec-87,1987
louis hamilton, (earth-616),\/louis_hamilton_(earth-616),secret identity,bad characters,,black hair,male characters,,deceased characters,16,Mar-87,1987
ariana saddiqi, (earth-616),\/ariana_saddiqi_(earth-616),secret identity,bad characters,white eyes,blond hair,female characters,,living characters,16,Jan-88,1988
cecilia cardinale, (earth-616),\/cecilia_cardinale_(earth-616),secret identity,neutral characters,brown eyes,brown hair,female characters,,living characters,16,Oct-88,1988
nigel frobisher, (earth-616),\/nigel_frobisher_(earth-616),public identity,neutral characters,,blond hair,male characters,,deceased characters,16,Oct-88,1988
tam anderson, (earth-616),\/tam_anderson_(earth-616),,good characters,hazel eyes,red hair,female characters,,living characters,16,Oct-88,1988
bart rozum, (earth-616),\/bart_rozum_(earth-616),no dual identity,good characters,brown eyes,red hair,male characters,,living characters,16,May-89,1989
j. r. walker, (earth-616),\/j._r._walker_(earth-616),,bad characters,brown eyes,black hair,male characters,,living characters,16,Oct-89,1989
nikolaus geist, (earth-616),\/nikolaus_geist_(earth-616),secret identity,bad characters,brown eyes,white hair,male characters,,living characters,16,Nov-89,1989
philip sterns, (earth-616),\/philip_sterns_(earth-616),secret identity,bad characters,blue eyes,blond hair,male characters,,deceased characters,16,Nov-89,1989
vostok, (earth-616),\/vostok_(earth-616),public identity,,,bald,male characters,,living characters,16,Apr-89,1989
whiteout, (earth-616),\/whiteout_(earth-616),secret identity,bad characters,white eyes,,female characters,,living characters,16,Oct-89,1989
andrew jackson, (earth-616),\/andrew_jackson_(earth-616),public identity,good characters,,blond hair,male characters,,deceased characters,16,Nov-90,1990
at-lass, (earth-616),\/at-lass_(earth-616),public identity,bad characters,,black hair,male characters,,deceased characters,16,Apr-90,1990
breeze james, (earth-616),\/breeze_james_(earth-616),secret identity,,brown eyes,black hair,female characters,,living characters,16,Jul-90,1990
thomas sorenson, (earth-616),\/thomas_sorenson_(earth-616),secret identity,bad characters,blue eyes,blond hair,male characters,,living characters,16,Oct-90,1990
allegra bazin, (earth-616),\/allegra_bazin_(earth-616),,,,,,,living characters,16,Aug-91,1991
esteban beach, (earth-616),\/esteban_beach_(earth-616),public identity,,,brown hair,male characters,,living characters,16,Nov-91,1991
fabian marechal-julbin, (earth-616),\/fabian_marechal-julbin_(earth-616),secret identity,bad characters,blue eyes,brown hair,male characters,,deceased characters,16,Mar-91,1991
jeff hagees, (earth-616),\/jeff_hagees_(earth-616),secret identity,bad characters,blue eyes,red hair,male characters,,deceased characters,16,Jul-91,1991
phillipe bazin, (earth-616),\/phillipe_bazin_(earth-616),public identity,bad characters,,black hair,male characters,,living characters,16,Mar-91,1991
alexis primo, (earth-616),\/alexis_primo_(earth-616),no dual identity,good characters,,brown hair,female characters,,living characters,16,Jul-92,1992
craig blaze, (earth-616),\/craig_blaze_(earth-616),public identity,good characters,,,male characters,,living characters,16,Feb-92,1992
emma blaze, (earth-616),\/emma_blaze_(earth-616),public identity,good characters,,,female characters,,living characters,16,Feb-92,1992
gawain, (earth-616),\/gawain_(earth-616),secret identity,good characters,,bald,male characters,,living characters,16,Jul-92,1992
jamie flores, (earth-616),\/jamie_flores_(earth-616),secret identity,good characters,,brown hair,female characters,,living characters,16,Jun-92,1992
alkhema, (earth-616),\/alkhema_(earth-616),no dual identity,bad characters,variable eyes,no hair,female characters,,living characters,16,Jan-93,1993
isaac javitz, (earth-616),\/isaac_javitz_(earth-616),secret identity,bad characters,one eye,brown hair,male characters,,deceased characters,16,May-93,1993
katu kath, (earth-616),\/katu_kath_(earth-616),secret identity,bad characters,white eyes,grey hair,male characters,,deceased characters,16,May-93,1993
mary lavinia octavius, (earth-616),\/mary_lavinia_octavius_(earth-616),no dual identity,neutral characters,black eyes,blue hair,female characters,,deceased characters,16,Nov-93,1993
roberto da costa, (earth-616),\/roberto_da_costa_(reignfire)_(earth-616),secret identity,bad characters,,no hair,male characters,,deceased characters,16,Sep-93,1993
veronica benning, (earth-616),\/veronica_benning_(earth-616),public identity,good characters,blue eyes,black hair,female characters,,living characters,16,May-93,1993
boone, (earth-616),\/boone_(earth-616),secret identity,,,brown hair,male characters,,living characters,16,Oct-94,1994
chakra, (earth-616),\/chakra_(earth-616),secret identity,,black eyes,black hair,female characters,,living characters,16,Oct-94,1994
emrys killebrew, (earth-616),\/emrys_killebrew_(earth-616),public identity,neutral characters,blue eyes,grey hair,male characters,,deceased characters,16,Aug-94,1994
gregor, (earth-616),\/gregor_(earth-616),secret identity,bad characters,,bald,male characters,,living characters,16,Jun-94,1994
llyron mckenzie, (earth-616),\/llyron_mckenzie_(earth-616),public identity,,blue eyes,black hair,male characters,,living characters,16,Sep-94,1994
piezo-electrical logistic analytical tactical operator, (earth-616),\/piezo-electrical_logistic_analytical_tactical_operator_(earth-616),secret identity,good characters,,,male characters,,living characters,16,Jul-94,1994
xenith, (earth-616),\/xenith_(earth-616),secret identity,bad characters,brown eyes,bald,female characters,,living characters,16,Dec-95,1995
alison mongrain, (earth-616),\/alison_mongrain_(earth-616),,,blue eyes,red hair,female characters,,living characters,16,Nov-96,1996
delilah dearborn, (earth-616),\/delilah_dearborn_(earth-616),public identity,,blue eyes,brown hair,female characters,,living characters,16,Jan-96,1996
hope hibbert, (earth-616),\/hope_hibbert_(earth-616),public identity,good characters,brown eyes,brown hair,female characters,,living characters,16,Aug-97,1997
lady vermin, (earth-616),\/lady_vermin_(earth-616),,good characters,,brown hair,female characters,,living characters,16,Nov-97,1997
green goblin, (earth-616),\/green_goblin_(construct)_(earth-616),secret identity,bad characters,yellow eyes,no hair,male characters,,deceased characters,16,Feb-98,1998
fiz, (earth-616),\/fiz_(earth-616),public identity,good characters,green eyes,black hair,male characters,,living characters,16,Dec-99,1999
james howlett, (earth-616),\/james_howlett_(skrull)_(earth-616),secret identity,bad characters,green eyes,no hair,male characters,,deceased characters,16,Aug-99,1999
vargas, (earth-616),\/vargas_(earth-616),secret identity,bad characters,brown eyes,black hair,male characters,,deceased characters,16,1-Jul,2001
woodstock schumaker, (earth-616),\/woodstock_schumaker_(earth-616),secret identity,good characters,blue eyes,blond hair,female characters,,living characters,16,1-Dec,2001
azazel, (earth-616),\/azazel_(earth-616),secret identity,bad characters,red eyes,grey hair,male characters,,living characters,16,3-Oct,2003
patricia robertson, (earth-616),\/patricia_robertson_(earth-616),secret identity,,blue eyes,strawberry blond hair,female characters,,living characters,16,3-Jun,2003
absolon mercator, (earth-616),\/absolon_mercator_(earth-616),secret identity,good characters,blue eyes,no hair,male characters,,deceased characters,16,4-Aug,2004
anti-cap, (earth-616),\/anti-cap_(earth-616),secret identity,bad characters,blue eyes,black hair,male characters,,deceased characters,16,4-May,2004
arthur zix, (earth-616),\/arthur_zix_(earth-616),secret identity,,,grey hair,male characters,,deceased characters,16,4-Nov,2004
ditto, (earth-616),\/ditto_(earth-616),secret identity,good characters,,black hair,male characters,,living characters,16,4-Jun,2004
maxwell jordan, (earth-616),\/maxwell_jordan_(earth-616),secret identity,good characters,brown eyes,brown hair,male characters,,deceased characters,16,4-Jul,2004
wicked, (earth-616),\/wicked_(earth-616),secret identity,good characters,brown eyes,black hair,female characters,,living characters,16,4-Jul,2004
itsu, (earth-616),\/itsu_(earth-616),no dual identity,neutral characters,brown eyes,black hair,female characters,,deceased characters,16,6-May,2006
jacob oh, (earth-616),\/jacob_oh_(earth-616),secret identity,good characters,brown eyes,black hair,male characters,,living characters,16,6-Oct,2006
jake slayton, (earth-616),\/jake_slayton_(earth-616),,good characters,,,male characters,,living characters,16,6-Jan,2006
matthew risman, (earth-616),\/matthew_risman_(earth-616),secret identity,bad characters,,brown hair,male characters,,deceased characters,16,6-Mar,2006
walter declun, (earth-616),\/walter_declun_(earth-616),,bad characters,,brown hair,male characters,,living characters,16,6-Jul,2006
kate kildare, (earth-616),\/kate_kildare_(earth-616),no dual identity,good characters,grey eyes,blond hair,female characters,,deceased characters,16,7-Oct,2007
milo fields, (earth-616),\/milo_fields_(earth-616),public identity,,brown eyes,black hair,male characters,,living characters,16,7-Sep,2007
william cobb iii, (earth-616),\/william_cobb_iii_(earth-616),public identity,good characters,green eyes,,male characters,,deceased characters,16,7-Oct,2007
ol-sahm, (earth-616),\/ol-sahm_(earth-616),public identity,good characters,brown eyes,no hair,male characters,,deceased characters,16,8-Aug,2008
qubit, (earth-616),\/qubit_(earth-616),secret identity,good characters,blue eyes,no hair,,,living characters,16,8-Dec,2008
anton vanko, (earth-616),\/anton_vanko_(whiplash)_(earth-616),secret identity,bad characters,brown eyes,black hair,male characters,,living characters,16,10-Jan,2010
br\u00fcn, (earth-616),\/br%c3%bcn_(earth-616),secret identity,bad characters,white eyes,white hair,female characters,,living characters,16,10-Aug,2010
doug johnson iii, (earth-616),\/doug_johnson_iii_(earth-616),public identity,neutral characters,blue eyes,blond hair,male characters,,deceased characters,16,10-Jun,2010
ms. lion, (earth-616),\/ms._lion_(earth-616),public identity,good characters,black eyes,white hair,male characters,,living characters,16,10-Nov,2010
corvus glaive, (earth-616),\/corvus_glaive_(earth-616),no dual identity,bad characters,black eyes,no hair,male characters,,living characters,16,13-May,2013
tyrannix the abominoid, (earth-616),\/tyrannix_the_abominoid_(legion_personality)_(earth-616),secret identity,neutral characters,red eyes,no hair,male characters,,living characters,16,13-Jan,2013
jim gardley, (earth-616),\/jim_gardley_(earth-616),secret identity,good characters,blue eyes,black hair,male characters,,living characters,15,Oct-39,1939
victor jay, (earth-616),\/victor_jay_(earth-616),secret identity,good characters,brown eyes,brown hair,male characters,,living characters,15,Feb-40,1940
preston hardwick, (earth-616),\/preston_hardwick_(earth-616),secret identity,good characters,,red hair,male characters,,living characters,15,Nov-50,1950
terror, (earth-616),\/terror_(horse)_(earth-616),public identity,good characters,,grey hair,male characters,,living characters,15,Nov-50,1950
kent blake, (earth-616),\/kent_blake_(earth-616),secret identity,good characters,,brown hair,male characters,,deceased characters,15,May-51,1951
white swan, (earth-616),\/white_swan_(earth-616),public identity,good characters,,black hair,female characters,,living characters,15,Feb-51,1951
zane temple, (earth-616),\/zane_temple_(earth-616),no dual identity,good characters,,grey hair,male characters,,living characters,15,Jan-51,1951
karl von horstbadden, (earth-616),\/karl_von_horstbadden_(earth-616),,bad characters,,grey hair,male characters,,deceased characters,15,Oct-56,1956
howard mitchell, (earth-616),\/howard_mitchell_(earth-616),secret identity,bad characters,brown eyes,grey hair,male characters,,deceased characters,15,Feb-63,1963
joe, (earth-616),\/joe_(nypd)_(earth-616),,,,,male characters,,living characters,15,Jul-63,1963
boris, (earth-616),\/boris_(latverian)_(earth-616),no dual identity,neutral characters,,grey hair,male characters,,living characters,15,Sep-64,1964
falcona, (earth-616),\/falcona_(earth-616),public identity,,green eyes,black hair,female characters,,living characters,15,Oct-68,1968
haag, (earth-616),\/haag_(asgardian)_(earth-616),,bad characters,,,female characters,,living characters,15,Jun-69,1969
naga, (earth-616),\/naga_(earth-616),public identity,bad characters,green eyes,no hair,male characters,,living characters,15,Jan-69,1969
tanya anderssen, (earth-616),\/tanya_anderssen_(earth-616),public identity,good characters,blue eyes,blond hair,female characters,,deceased characters,15,Sep-69,1969
joshua link, (earth-616),\/joshua_link_(earth-616),secret identity,bad characters,blue eyes,white hair,male characters,,deceased characters,15,Jan-70,1970
jason grey, (earth-616),\/jason_grey_(earth-616),,,,,male characters,,living characters,15,Apr-72,1972
jason kimball, (earth-616),\/jason_kimball_(earth-616),secret identity,bad characters,,black hair,male characters,,living characters,15,Aug-72,1972
lou-ann savannah, (earth-616),\/lou-ann_savannah_(earth-616),public identity,good characters,,black hair,female characters,,living characters,15,Sep-72,1972
thog, (earth-616),\/thog_(earth-616),secret identity,bad characters,yellow eyes,bald,male characters,,living characters,15,Dec-72,1972
thomas j. roberts, (earth-616),\/thomas_j._roberts_(earth-616),no dual identity,good characters,,blond hair,male characters,,living characters,15,Oct-72,1972
drake shannon, (earth-616),\/drake_shannon_(earth-616),secret identity,bad characters,blue eyes,white hair,male characters,,deceased characters,15,Nov-73,1973
silas king, (earth-616),\/silas_king_(earth-616),secret identity,,blue eyes,,male characters,,living characters,15,Apr-73,1973
thomas stuart, (earth-616),\/thomas_stuart_(earth-616),public identity,bad characters,brown eyes,blond hair,male characters,,living characters,15,Dec-73,1973
desmond pitt, (earth-616),\/desmond_pitt_(earth-616),secret identity,neutral characters,brown eyes,bald,male characters,,living characters,15,Jan-74,1974
lawrence chesney, (earth-616),\/lawrence_chesney_(earth-616),secret identity,,brown eyes,brown hair,male characters,,living characters,15,Aug-75,1975
manphibian, (earth-616),\/manphibian_(earth-616),secret identity,neutral characters,red eyes,bald,male characters,,living characters,15,Sep-75,1975
abraham klein, (earth-616),\/abraham_klein_(earth-616),no dual identity,,brown eyes,white hair,male characters,,deceased characters,15,Jan-76,1976
harrison thompson, (earth-616),\/harrison_thompson_(earth-616),public identity,neutral characters,blue eyes,blond hair,male characters,,deceased characters,15,Dec-76,1976
charles delazny jr., (earth-616),\/charles_delazny_jr._(earth-616),secret identity,neutral characters,brown eyes,brown hair,male characters,,deceased characters,15,Feb-77,1977
impulse, (earth-616),\/impulse_(earth-616),secret identity,neutral characters,,no hair,male characters,,deceased characters,15,Oct-77,1977
robert bruce banner, (earth-616),\/robert_bruce_banner_(eternals_robot)_(earth-616),public identity,bad characters,red eyes,black hair,male characters,,deceased characters,15,Aug-77,1977
tefral, (earth-616),\/tefral_(earth-616),secret identity,neutral characters,,no hair,male characters,,living characters,15,Jan-77,1977
carina walters, (earth-616),\/carina_walters_(earth-616),secret identity,good characters,blue eyes,blond hair,female characters,,living characters,15,Jan-78,1978
don thomas, (earth-616),\/don_thomas_(earth-616),secret identity,neutral characters,blue eyes,red hair,male characters,,deceased characters,15,Jan-78,1978
josie, (earth-616),\/josie_(earth-616),public identity,neutral characters,,blond hair,female characters,,living characters,15,Sep-79,1979
phillip prometheus, (earth-616),\/phillip_prometheus_(earth-616),,bad characters,,white hair,male characters,,living characters,15,Apr-79,1979
yi yang, (earth-616),\/yi_yang_(earth-616),,bad characters,green eyes,black hair,female characters,,living characters,15,Jun-79,1979
arthur dearborn, (earth-616),\/arthur_dearborn_(earth-616),secret identity,neutral characters,blue eyes,brown hair,male characters,,living characters,15,Feb-81,1981
marx, (earth-616),\/marx_(earth-616),public identity,good characters,,blond hair,male characters,,living characters,15,Aug-81,1981
craig sinclair, (earth-616),\/craig_sinclair_(earth-616),public identity,bad characters,brown eyes,brown hair,male characters,,deceased characters,15,Nov-82,1982
demon bear, (earth-616),\/demon_bear_(earth-616),secret identity,bad characters,,brown hair,male characters,,living characters,15,May-83,1983
tick tock, (earth-616),\/tick_tock_(earth-616),secret identity,bad characters,brown eyes,bald,male characters,,deceased characters,15,Jun-83,1983
dragon of the moon, (earth-616),\/dragon_of_the_moon_(earth-616),secret identity,bad characters,variable eyes,variable hair,,,living characters,15,Dec-84,1984
knave, (earth-616),\/knave_(crazy_gang)_(earth-616),,bad characters,,,male characters,,living characters,15,Apr-84,1984
magus, (earth-616),\/magus_(technarch)_(earth-616),,bad characters,,,male characters,,living characters,15,Aug-84,1984
ac-dc, (earth-616),\/ac-dc_(earth-616),secret identity,neutral characters,red eyes,bald,male characters,,living characters,15,Jul-85,1985
beautiful dreamer, (earth-616),\/beautiful_dreamer_(morlock)_(earth-616),secret identity,neutral characters,grey eyes,black hair,female characters,,deceased characters,15,Jul-85,1985
interloper, (earth-616),\/interloper_(earth-616),secret identity,good characters,blue eyes,brown hair,male characters,,living characters,15,Sep-85,1985
oblivion, (earth-616),\/oblivion_(earth-616),secret identity,bad characters,,,male characters,,living characters,15,Feb-85,1985
randi, (earth-616),\/randi_(earth-616),public identity,good characters,,,female characters,,living characters,15,Feb-85,1985
bird-brain, (earth-616),\/bird-brain_(earth-616),no dual identity,good characters,red eyes,no hair,male characters,,living characters,15,Oct-87,1987
llan, (earth-616),\/llan_(earth-616),public identity,,red eyes,black hair,male characters,,living characters,15,Jun-89,1989
tang jhimon, (earth-616),\/tang_jhimon_(earth-616),secret identity,,,black hair,female characters,,deceased characters,15,Nov-89,1989
heidi franklin, (earth-616),\/heidi_franklin_(earth-616),secret identity,neutral characters,blue eyes,black hair,female characters,,living characters,15,Oct-90,1990
nathan lemon, (earth-616),\/nathan_lemon_(earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,,deceased characters,15,Mar-90,1990
daryl andrews, (earth-616),\/daryl_andrews_(earth-616),,,,black hair,male characters,,living characters,15,May-92,1992
divad, (earth-616),\/divad_(earth-616),secret identity,neutral characters,,red hair,male characters,,living characters,15,Apr-92,1992
laura dunham, (earth-616),\/laura_dunham_(earth-616),public identity,good characters,blue eyes,blond hair,female characters,,living characters,15,Jun-92,1992
francisco milan, (earth-616),\/francisco_milan_(earth-616),secret identity,bad characters,,black hair,male characters,,living characters,15,May-93,1993
mortigan goth, (earth-616),\/mortigan_goth_(earth-616),secret identity,good characters,blue eyes,blond hair,male characters,,living characters,15,Sep-93,1993
seer, (earth-616),\/seer_(earth-616),secret identity,good characters,,black hair,female characters,,living characters,15,Aug-93,1993
torbert octavius, (earth-616),\/torbert_octavius_(earth-616),no dual identity,bad characters,brown eyes,brown hair,male characters,,deceased characters,15,Nov-93,1993
blackwulf, (earth-616),\/blackwulf_(lucian)_(earth-616),secret identity,neutral characters,red eyes,white hair,male characters,,living characters,15,Mar-94,1994
hurricane, (earth-616),\/hurricane_(dark_riders)_(earth-616),secret identity,bad characters,,brown hair,male characters,,deceased characters,15,Nov-94,1994
loga, (earth-616),\/loga_(godpack)_(earth-616),secret identity,good characters,yellow eyes,red hair,male characters,,living characters,15,Mar-94,1994
mattie baptiste, (earth-616),\/mattie_baptiste_(earth-616),,,brown eyes,black hair,female characters,,deceased characters,15,Feb-94,1994
newton destine, (earth-616),\/newton_destine_(earth-616),secret identity,good characters,,brown hair,male characters,,living characters,15,Jul-94,1994
cordelia frost, (earth-616),\/cordelia_frost_(earth-616),public identity,neutral characters,,black hair,female characters,,living characters,15,Jan-95,1995
elaine coll, (earth-616),\/elaine_coll_(earth-616),,bad characters,green eyes,red hair,female characters,,living characters,15,Feb-95,1995
heidi sladkin, (earth-616),\/heidi_sladkin_(earth-616),secret identity,good characters,red eyes,no hair,female characters,homosexual characters,living characters,15,Sep-95,1995
hemingway, (earth-616),\/hemingway_(earth-616),secret identity,bad characters,,bald,male characters,,deceased characters,15,Jul-95,1995
sack, (earth-616),\/sack_(earth-616),secret identity,bad characters,,no hair,male characters,,deceased characters,15,Aug-95,1995
simon trask, (earth-616),\/simon_trask_(earth-616),public identity,bad characters,blue eyes,blond hair,male characters,,living characters,15,Nov-95,1995
gloria mu\u00f1oz, (earth-616),\/gloria_mu%c3%b1oz_(earth-616),secret identity,good characters,brown eyes,black hair,female characters,,deceased characters,15,Feb-96,1996
deuce, (earth-616),\/deuce_(earth-616),public identity,good characters,blue eyes,brown hair,male characters,,living characters,15,Feb-97,1997
shantal wilsk, (earth-616),\/shantal_wilsk_(earth-616),public identity,good characters,,black hair,female characters,,living characters,15,Oct-97,1997
strider, (earth-616),\/strider_(earth-616),,good characters,black eyes,white hair,male characters,,living characters,15,Aug-97,1997
ursula, (earth-616),\/ursula_(earth-616),secret identity,good characters,,brown hair,female characters,,deceased characters,15,Oct-97,1997
aiko miyazaki, (earth-616),\/aiko_miyazaki_(earth-616),secret identity,good characters,blue eyes,blond hair,female characters,,living characters,15,Sep-98,1998
jonathan tremont, (earth-616),\/jonathan_tremont_(earth-616),,,blue eyes,grey hair,male characters,,living characters,15,Feb-99,1999
angela lipscombe, (earth-616),\/angela_lipscombe_(earth-616),no dual identity,neutral characters,blue eyes,blond hair,female characters,,living characters,15,Mar-00,2000
molly von richthofen, (earth-616),\/molly_von_richthofen_(earth-616),public identity,good characters,,brown hair,female characters,homosexual characters,living characters,15,Jul-00,2000
nina smith, (earth-616),\/nina_smith_(earth-616),public identity,good characters,brown eyes,brown hair,female characters,,living characters,15,4-Oct,2004
sarah stacy, (earth-616),\/sarah_stacy_(earth-616),no dual identity,good characters,blue eyes,blond hair,female characters,,living characters,15,4-Aug,2004
tatiana caban, (earth-616),\/tatiana_caban_(earth-616),no dual identity,neutral characters,brown eyes,brown hair,female characters,,living characters,15,4-Jul,2004
ted mankowski, (earth-616),\/ted_mankowski_(earth-616),no dual identity,,,,male characters,,living characters,15,4-Oct,2004
ethan edwards, (earth-616),\/ethan_edwards_(earth-616),public identity,good characters,blue eyes,blond hair,male characters,,living characters,15,5-Jun,2005
captain, (earth-616),\/captain_(nextwave)_(earth-616),secret identity,good characters,brown eyes,black hair,male characters,,living characters,15,6-Mar,2006
consultant, (earth-616),\/consultant_(earth-616),secret identity,bad characters,black eyes,no hair,male characters,,living characters,15,6-Apr,2006
miriam sharpe, (earth-616),\/miriam_sharpe_(earth-616),public identity,neutral characters,,brown hair,female characters,,living characters,15,6-Jul,2006
rob, (earth-616),\/rob_(earth-616),,neutral characters,,brown hair,male characters,homosexual characters,living characters,15,6-Aug,2006
bev sykes, (earth-616),\/bev_sykes_(earth-616),no dual identity,good characters,brown eyes,brown hair,female characters,,living characters,15,7-Aug,2007
jack kooning, (earth-616),\/jack_kooning_(earth-616),public identity,,black eyes,brown hair,male characters,,deceased characters,15,7-Apr,2007
magdalena marie, (earth-616),\/magdalena_marie_(earth-616),public identity,,brown eyes,black hair,female characters,,living characters,15,7-Sep,2007
michael van patrick, (earth-616),\/michael_van_patrick_(earth-616),secret identity,good characters,blue eyes,brown hair,male characters,,deceased characters,15,7-May,2007
orson randall, (earth-616),\/orson_randall_(earth-616),secret identity,good characters,grey eyes,brown hair,male characters,,deceased characters,15,7-Jan,2007
pagon, (earth-616),\/pagon_(earth-616),secret identity,bad characters,green eyes,black hair,male characters,,deceased characters,15,7-Jun,2007
ra-venn, (earth-616),\/ra-venn_(earth-616),public identity,,blue eyes,red hair,female characters,,deceased characters,15,7-Sep,2007
caretaker, (earth-616),\/caretaker_(sara)_(earth-616),,,blue eyes,red hair,female characters,,living characters,15,8-Oct,2008
sadie sinclair, (earth-616),\/sadie_sinclair_(earth-616),public identity,good characters,blue eyes,black hair,female characters,,living characters,15,8-Feb,2008
vengeance, (earth-616),\/vengeance_(kowalski)_(earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,,living characters,15,8-May,2008
betty swanson, (earth-616),\/betty_swanson_(earth-616),secret identity,bad characters,blue eyes,blond hair,female characters,,living characters,15,9-Sep,2009
christopher colchiss, (earth-616),\/christopher_colchiss_(earth-616),secret identity,bad characters,blue eyes,brown hair,male characters,,living characters,15,9-Jul,2009
lisa molinari, (earth-616),\/lisa_molinari_(earth-616),secret identity,neutral characters,brown eyes,brown hair,female characters,,living characters,15,9-Jul,2009
shir ydrn talonis, (earth-616),\/shir_ydrn_talonis_(earth-616),secret identity,bad characters,,,male characters,,living characters,15,9-Apr,2009
sylvie lushton, (earth-616),\/sylvie_lushton_(earth-616),secret identity,bad characters,brown eyes,blond hair,female characters,,living characters,15,9-Jul,2009
lady stilt-man, (earth-616),\/lady_stilt-man_(earth-616),secret identity,bad characters,,red hair,female characters,,living characters,15,10-Jan,2010
onomi whitemane, (earth-616),\/onomi_whitemane_(earth-616),secret identity,neutral characters,red eyes,white hair,female characters,,living characters,15,10-May,2010
wilhelmina kensington, (earth-616),\/wilhelmina_kensington_(earth-616),public identity,bad characters,blue eyes,blond hair,female characters,,living characters,15,11-Sep,2011
annabelle adams, (earth-616),\/annabelle_adams_(earth-616),no dual identity,good characters,green eyes,red hair,female characters,,living characters,15,12-Mar,2012
donald meland, (earth-616),\/donald_meland_(earth-616),no dual identity,good characters,hazel eyes,reddish blond hair,male characters,homosexual characters,living characters,15,12-Mar,2012
katherine kiernan, (earth-616),\/katherine_kiernan_(earth-616),public identity,good characters,brown eyes,blond hair,female characters,,living characters,15,12-Oct,2012
eva alexander, (earth-616),\/eva_alexander_(earth-616),,good characters,brown eyes,black hair,female characters,,living characters,15,13-Apr,2013
randall jessup, (earth-616),\/randall_jessup_(earth-616),public identity,neutral characters,brown eyes,blond hair,male characters,,living characters,15,13-Mar,2013
john renwick, (earth-616),\/john_renwick_(earth-616),no dual identity,good characters,,,male characters,,living characters,15,,
proxima midnight, (earth-616),\/proxima_midnight_(earth-616),no dual identity,bad characters,white eyes,blue hair,female characters,,living characters,15,,
joseph goebbels, (earth-616),\/joseph_goebbels_(earth-616),,,,black hair,male characters,,deceased characters,14,Jun-42,1942
wyatt earp, (earth-616),\/wyatt_earp_(earth-616),no dual identity,good characters,,black hair,male characters,,deceased characters,14,Mar-55,1955
gorgilla, (earth-616),\/gorgilla_(earth-616),secret identity,neutral characters,brown eyes,brown hair,male characters,,living characters,14,Oct-60,1960
nikita khrushchev, (earth-616),\/nikita_khrushchev_(earth-616),public identity,bad characters,,bald,male characters,,deceased characters,14,Sep-62,1962
jonathan juniper, (earth-616),\/jonathan_juniper_(earth-616),public identity,good characters,blue eyes,blond hair,male characters,,deceased characters,14,May-63,1963
kurt marko, (earth-616),\/kurt_marko_(earth-616),public identity,neutral characters,black eyes,black hair,male characters,,deceased characters,14,Jul-65,1965
