id,name,intelligence,strength,speed,durability,power,combat,full-name,alter-egos,aliases,place-of-birth,first-appearance,publisher,alignment,gender,race,height,weight,eye-color,hair-color,occupation,base,group-affiliation,relatives,url
181,Clock King,75.0,10.0,17.0,10.0,7.0,40.0,William Tockman,No alter egos found.,['Tempus Fugit'],-,"World's Finest #111 (August, 1960)",DC Comics,bad,Male,Human,"[""5'10"", '178 cm']","['173 lb', '78 kg']",Blue,Black,-,-,"Clockwatchers, Justice League Antarctica, Suicide Squad, Time Foes","Beverly (sister, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/10396.jpg
185,Colossus,63.0,83.0,33.0,100.0,45.0,80.0,Piotr Nikolaievitch Rasputin,No alter egos found.,"['Pete', 'Peter Nicholas', 'The Proletarian', 'Little Brother']","Ust-Ordynski Collective, near Lake Baikal, Siberia, Russia","Giant-Size X-Men #1 (May, 1975)",Marvel Comics,good,Male,Mutant,"[""7'5"", '226 cm']","['500 lb', '225 kg']",Silver,Black,"(current) Adventurer, student, (former) Artist","(current) Professor Charles Xavier's Institute for Higher Learning, Salem Center, Westchester County, New York (former) Muir Isle, Scotland,; a loft in Soho, Manhattan, Ust-Ordynski Collective, Lake Baikal, Siberia, U.S.S.R., X-Men Headquarters in Austra","X-Men; formerly Excalibur, Acolytes, Defender","Grigory Efimovich Rasputin (great-grandfather, deceased), Elena (great-grandmother, deceased), Ivan Rasputin (great-grand uncle, deceased), Grigory Rasputin (grandfather, deceased), Nikolai Rasputin (father, deceased), Alexandra Rasputina (mother, deceased), Vladimir Rasputin (uncle, deceased), unidentified aunt & uncle (deceased), Illyana Nikolievna Rasputina (Magik, sister, deceased), Mikhail Rasputin (brother), Peter Jr. (son), Larissa Mishchenko (cousin, deceased), Konstantin (cousin, deceased), Klara (cousin, deceased), Dimitriy (cousin, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/48.jpg
186,Copycat,56.0,10.0,21.0,25.0,54.0,60.0,Vanessa Carlysle,No alter egos found.,"['Nurse Veronica', 'Patricia Muggins', 'Titania', 'Garrison Kane', 'Christina Valentino', 'Domino', 'Cheryl Marks', 'Debbie', 'Marguerite', 'Amy']",-,"New Mutants #98 (February, 1991)",Marvel Comics,neutral,Female,Mutant,"[""6'0"", '183 cm']","['148 lb', '67 kg']",Red,White,-,"Mobile; formerly Adirondack Mountains, Xavier's School for Gifted Youngsters","Weapon X/Weapon Plus and Six Pack (as Copycat), X-Force and New Mutants (as Domino)","Burt Carlysle (father, deceased), Dorothy Carlysle (mother)",https://www.superherodb.com/pictures2/portraits/10/100/10423.jpg
188,Cottonmouth,50.0,10.0,8.0,10.0,27.0,25.0,Burchell Clemens,No alter egos found.,['Quincy McIver'],-,"Captain America #310 (October, 1985)",Marvel Comics,bad,Male,Human,"[""6'0"", '183 cm']","['220 lb', '99 kg']",Brown,Black,Professional criminal,Serpent Citadel,Serpent Society,-,https://www.superherodb.com/pictures2/portraits/10/100/10452.jpg
191,Crystal,63.0,16.0,12.0,14.0,61.0,56.0,Crystallia Amaquelin,No alter egos found.,"['Crys', 'Exquisite Elemental']",Attilan,Fantastic Four #45 (1965),Marvel Comics,good,Female,Inhuman,"[""5'6"", '168 cm']","['110 lb', '50 kg']",Green,Red,"Mother, adventuress",-,"Inhumans (Royal Family); formerly Fantastic Four, Avengers, Queen's Vengeance","Quelin (father), Ambur (mother), Medusa (sister), Gorgon, Karnak, Triton (cousins), Black Bolt (cousin, brother-in-law), Pietro Maximoff (Quicksilver, estranged husband), Luna (daughter), Ahura (nephew), extensive extended family",https://www.superherodb.com/pictures2/portraits/10/100/305.jpg
194,Cyborg,75.0,53.0,42.0,85.0,71.0,64.0,Victor Stone,No alter egos found.,"['Cyberion Technis', 'Omegadrome', 'Planet Cyberion']","New York City, New York","DC Comics Presents #26 (October, 1980)",DC Comics,good,Male,Cyborg,"[""6'6"", '198 cm']","['385 lb', '173 kg']",Brown,Black,"Adventurer, Teen Titan",San Francisco,"Justice League; formerly Teen Titans, Titans, Titans East, New Teen Titans","Silas Stone (father), Elinore Stone (mother), Tucker Stone (grandfather), Maude Stone (grandmother)",https://www.superherodb.com/pictures2/portraits/10/100/1204.jpg
195,Cyborg Superman,75.0,93.0,92.0,100.0,100.0,80.0,Henry Henshaw,No alter egos found.,"['Grandmaster of the Manhunters', 'Herald of the Anti-Monitor', 'Alpha-Prime of the Alpha Lanterns']",-,"Adventures of Superman #466 (May, 1990)",DC Comics,bad,Male,Cyborg,"['-', '0 cm']","['- lb', '0 kg']",Blue,Black,-,"Warworld, Qward, Antimatter Universe, formerly Biot, Sector 3601","Alpha Lantern Corps, Manhunters, Warworld, formerly Apokolips and Sinestro Corps","Terri Henshaw (wife, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/667.jpg
196,Cyclops,75.0,10.0,23.0,42.0,76.0,80.0,Scott Summers,No alter egos found.,"['Scotty', 'Cyke', 'Slim', 'Fearless Leader', 'One-Eye', 'Erik the Red', 'Slym Dayspring', 'Mutate 007', 'Apocalypse']","Anchorage, Alaska","X-Men #1 (September, 1963)",Marvel Comics,good,Male,Mutant,"[""6'3"", '191 cm']","['195 lb', '88 kg']",Brown,Brown,"Leader of mutant race, adventurer, headmaster, former student, radio announcer","Xavier Institute, Salem Center, Westchester County, New York","X-Men (leader, founding member); formerly X-Force (founder); Corsairs (squad leader); The Twelve; X-Factor/X-Terminators (founding member); 198","Oscar Summers (adoptive paternal distant ancestor, deceased); Daniel Summers (paternal distant ancestor, deceased); Amanda Mueller (Black Womb) (paternal distant ancestor); unnamed great-grandfather, deceased; Gloria Dayne (Fontanelle) (paternal distant ancestor); Philip Summers (paternal grandfather); Deborah Summers (paternal grandmother); Christopher Summers (Corsair) (father, deceased); Katherine Ann Summers (mother, deceased); Jack Winters (Jack O'Diamonds) (former foster father); Alexander Summers (Havok) (brother); Gabriel Summers (Vulcan) (brother, deceased); Madelyne Pryor-Summers (Red Queen) (first wife/second wife's clone, deceased); Jean Grey-Summers (Phoenix) (second wife, deceased); Nathan Summers (Cable) (son, deceased); Gailyn Bailey (niece, deceased); Joseph Bailey (nephew, deceased); Adam Neramani (X-Treme) (nephew, alleged half-brother); Hope Summers (adoptive granddaughter); Stryfe (son's clone); Summers and Grey Family Tree (more relatives)",https://www.superherodb.com/pictures2/portraits/10/100/50.jpg
201,Daredevil,75.0,13.0,25.0,35.0,61.0,100.0,Matt Murdock,No alter egos found.,"['Matt', 'Jack Batlin', 'Kingpin of Crime', 'Laurent LeVasseur', 'Michael ""Mike"" Murdock', 'Scarlet Swashbuckler', 'Nameless One', ""Kingpin of Hell's Kitchen"", 'The Man Without Fear', 'The Guardian Devil', 'DD', 'Red', 'Hornhead', 'Cooper Peyton', 'Captain Universe']","New York City, New York","Daredevil #1 (April, 1964)",Marvel Comics,good,Male,Human,"[""6'0"", '183 cm']","['200 lb', '90 kg']",Blue,Red,"Adventurer, vigilante, Attorney at Law","Hell's Kitchen, New York, New York, Shadowland (formerly)","none; Formerly: partner of Black Widow (Natasha Romanoff), Defenders, S.H.I.E.L.D., Marvel Knights, Secret Avengers (Civil War), Hand leader.","Jonathan ""Battling Jack"" Murdock (Father, deceased), Maggie Murdock (aka Sister Maggie, Mother), Milla Donovan (ex-wife)",https://www.superherodb.com/pictures2/portraits/10/100/52.jpg
202,Darkhawk,50.0,32.0,33.0,70.0,74.0,64.0,Christopher Powell,No alter egos found.,"['Bucket-Head', 'Edge-Man', 'Powell']","Queens, New York","Darkhawk #1 (March, 1991)",Marvel Comics,good,Male,Human,"[""6'1"", '185 cm']","['180 lb', '81 kg']",Brown,Brown,Retired Superhero,"Los Angeles, California; formerly New York City and Avengers Compound","formerly Loners, New Warriors, Avengers West Coast (reservist), Secret Defenders (founder)","Michael Powell (father), Grace Powell (mother), Jonathon and Jason Powell (brothers)",https://www.superherodb.com/pictures2/portraits/10/100/53.jpg
204,Darkseid,88.0,100.0,83.0,100.0,100.0,95.0,Uxas,No alter egos found.,['Dark God'],-,Superman's Pal Jimmy Olsen #134 (November 1970),DC Comics,bad,Male,New God,"[""8'9"", '267 cm']","['1815 lb', '817 kg']",Red,No Hair,Dictator of Apokolips,-,"New Gods of Apokolips(ruler), Secret Society of Supervillains","Zonuz (father), Izaya (brother), Avia (sister, deceased), Grail (daughter), Kalibak (son), Orion (son), Deathspawn (son), Scot (nephew/adopted son)",https://www.superherodb.com/pictures2/portraits/10/100/668.jpg
206,Darkstar,38.0,8.0,35.0,42.0,79.0,64.0,Laynia Petrovna,No alter egos found.,['Tyomni Zvesda'],"Minks, USSR","Champions #7 (August, 1976)",Marvel Comics,good,Female,Mutant,"[""5'6"", '168 cm']","['125 lb', '56 kg']",Brown,Blond,Occupation unknown,"(before death) Paris, France (formerly) Moscow, USSR; Los Angeles, California, United States","(at death)X-Corps (formerly) Champions, Winter Guard, Soviet Super Soldiers","Nicolai Krylenko a.k.a. Vanguard (brother), Sergi Krylov a.k.a. The Presence (father), Marya Krylova (mother, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/169.jpg
208,Darth Vader,69.0,48.0,33.0,35.0,100.0,100.0,Anakin Skywalker,No alter egos found.,['Lord Vader'],Tatooine,Star Wars: Episode IV - A New Hope (1977),George Lucas,bad,Male,Cyborg,"[""6'6"", '198 cm']","['300 lb', '135 kg']",Yellow,No Hair,"Sith Lord, Supreme Commander of the Imperial Fleet",Death Star,"Sith, Galactic Empire","Luke Skywalker (Son), Princess Leia (Daughter)",https://www.superherodb.com/pictures2/portraits/10/100/10444.jpg
209,Dash,25.0,12.0,92.0,60.0,20.0,30.0,Dashiell Robert Parr,No alter egos found.,"['The Fastest Kid on Earth', 'The Dash']",-,"The Incredibles (Movies, 2004)",Dark Horse Comics,good,Male,Human,"[""4'0"", '122 cm']","['60 lb', '27 kg']",Blue,Blond,-,-,"Incredible Family (genetic member), National Supers Agency (ties), Edna Mode (receives costumes and gadgets from her), Frozone (long-time friend), Mirage (ally)","Robert Parr (Mr Incredible, father), Helen Parr (Elastigirl, mother), Violet Parr(Violet, sister), , Jack-jack (brother)",https://www.superherodb.com/pictures2/portraits/10/100/824.jpg
210,Data,100.0,32.0,21.0,40.0,56.0,50.0,Data,No alter egos found.,['B-4'],-,-,Star Trek,good,Male,Android,"['-', '0 cm']","['- lb', '0 kg']",Yellow,Brown,Lieutenant commander,-,-,Dr. Noonian Soong (creator),https://www.superherodb.com/pictures2/portraits/10/100/10577.jpg
211,Dazzler,63.0,10.0,33.0,60.0,100.0,55.0,Alison Blaire,No alter egos found.,"['Ali', 'The Disco Dazzler', 'Songbird', 'Dazz', 'Kimberly Schau', 'Ally']","Gardendale, Long Island, New York",X-Men #130 (1980),Marvel Comics,good,Female,Mutant,"[""5'8"", '173 cm']","['115 lb', '52 kg']",Blue,Blond,"Adventurer, singer, former actress, model, revolutionary",-,"Formerly Excalibur, X-Babies (guardian), Mojoverse Rebellion, X-Men, Cat's Laughing, Gladiators","Bella Blaire (paternal grandmother), Carter Blaire (father, deceased), Katherine Blaire-Brown (Barbara London, mother), Nicholas Brown (step-father), Lois London (half-sister), Longshot (husband)",https://www.superherodb.com/pictures2/portraits/10/100/1043.jpg
212,Deadman,50.0,10.0,33.0,100.0,100.0,42.0,Boston Brand,No alter egos found.,['-'],-,"Strange Adventures #205 (October, 1967)",DC Comics,good,Male,Human,"[""6'0"", '183 cm']","['201 lb', '90 kg']",Blue,Black,"Wandering Spirit, Former Circus Aerialist","Mobile, Realm of the Just Dead","White Lantern Corps, formerly Sentinels of Magic, Seven Soldiers of Victory, Justice League of Apostles","Cleveland Brand (twin brother, deceased), Lita Brand (niece), Unnamed parents",https://www.superherodb.com/pictures2/portraits/10/100/1472.jpg
213,Deadpool,69.0,32.0,50.0,100.0,100.0,100.0,Wade Wilson,"Evil Deadpool, Venompool","['Wade Wilson', 'Jack', 'Chiyonosake (""the Wolf of the Rice Wine"")', 'Rhodes', 'Corpus', 'Lopez', 'Hobgoblin', 'Thom Cruz', 'Peter Parker']",Canada,"New Mutants #98 (February, 1991)",Evil Deadpool,neutral,Male,Mutant,"[""6'2"", '188 cm']","['210 lb', '95 kg']",Brown,No Hair,"Mercenary; former enforcer, government operative, sumo wrestler, soldier, assassin, anti-hero, others","Cavern-X, Sedona, Arizona, Mobile","Thunderbolts (Strike Team), shares body with Agent Preston; formerly X-Force, Deadpool Corps, Agency X, S.H.I.E.L.D.; Code Red, Six Pack, One World Church, DP Inc., Weapon X, Weapon Plus, Heroes for Hire, Secret Defenders, Frightful Four, Team Deadpool, L","Thomas ""Mickey"" Wilson (father, deceased); Hailey Wilson (mother, deceased); Gretchen Wilson, Orksa (ex-wives); Evil Deadpool (clone); Widdle Wade (clone)",https://www.superherodb.com/pictures2/portraits/10/100/835.jpg
214,Deadshot,50.0,10.0,23.0,28.0,55.0,80.0,Floyd Lawton,No alter egos found.,"['Man Who Never Misses', 'Worlds Finest Assassin', 'Orlando Furioso']",-,"Batman #59 (June, 1950)",DC Comics,bad,Male,Human,"[""6'1"", '185 cm']","['202 lb', '91 kg']",Brown,Brown,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/670.jpg
215,Deathlok,69.0,32.0,30.0,70.0,40.0,60.0,Luther Manning,No alter egos found.,['Demolisher'],-,"Astonishing Tales #25 (August, 1974)",Marvel Comics,good,Male,Cyborg,"[""6'4"", '193 cm']","['395 lb', '178 kg']",Brown,Grey,-,New York area,"Former member of the CIA, Project: Alpha-Mech, US Army, ally of Godwulf's Redeemers","Janice (Wife, seperated), Richard (son)",https://www.superherodb.com/pictures2/portraits/10/100/1304.jpg
216,Deathstroke,75.0,30.0,35.0,100.0,47.0,90.0,Slade Joseph Wilson,No alter egos found.,"['Slade Wilson', 'Deathstroke the Terminator', 'Batman']",-,"New Teen Titans #2 (December, 1980)",DC Comics,neutral,Male,Human,"[""6'4"", '193 cm']","['225 lb', '101 kg']",Blue,White,"Mercenary; Former Soldier, Big-Game Hunter",The Labyrinth (exact location is currently unknown),"The Society, Titans; Formerly Tartarus, The Injustice League","Wade LaFarge (Ravager III, half-brother, deceased), Adeline Kane (ex-wife, deceased), Grant Wilson (Ravager I, son, deceased), Joseph Wilson (Jericho, son), Rose Wilson (Ravager IV, daughter)",https://www.superherodb.com/pictures2/portraits/10/100/672.jpg
219,Diamondback,44.0,16.0,23.0,28.0,45.0,60.0,Willis Stryker,No alter egos found.,['-'],-,"Luke Cage, Hero for Hire#1 (1972)",Marvel Comics,bad,Male,Human,"[""6'4"", '193 cm']","['200 lb', '90 kg']",Brown,Black,Criminal,-,"Syndicate, formerly Bloods",-,https://www.superherodb.com/pictures2/portraits/10/100/1404.jpg
221,Doc Samson,75.0,80.0,33.0,80.0,36.0,70.0,Leonard Samson,No alter egos found.,['-'],"Tulsa, Oklahoma","Incredible Hulk #141 (July, 1971)",Marvel Comics,good,Male,Human / Radiation,"[""6'6"", '198 cm']","['380 lb', '171 kg']",Blue,Green,"Psychiatrist, teacher, adventurer, former special consultant to Gamma Base","Psychiatrist, teacher, adventurer, former special consultant to Gamma Base",-,Leonard Skivorski (father); Ricky Myers (son);,https://www.superherodb.com/pictures2/portraits/10/100/54.jpg
222,Doctor Doom,100.0,32.0,20.0,100.0,100.0,84.0,Victor von Doom,No alter egos found.,"['The Master', 'Invincible Man']","Haasenstadt, Latveria",Fantastic Four #5 (July 1962),Marvel Comics,bad,Male,Human,"[""6'7"", '201 cm']","['415 lb', '187 kg']",Brown,Brown,Monarch,"Castle Doom, Doomstadt, Latveria","Future Foundation; Formerly Cabal, Knights of the Atomic Table, Acts of Vengeance Prime Movers, partner of Namor, employer of the Terrible Trio, Fantastic Four (leader)","Werner von Doom (father, deceased), Cynthia von Doom (mother, deceased); Kang the Conqueror, his counterparts, and offspring (alleged descendants), Kristoff Vernard (Doctor Doom II, adopted son), Dr Bob Doom (distant cousin), Boris (unofficially adoptive father/guardian), Valeria von Doom (daughter from alternate universe; became baby of Susan Richards and is now called Valeria Richards)",https://www.superherodb.com/pictures2/portraits/10/100/189.jpg
224,Doctor Fate,81.0,16.0,25.0,80.0,100.0,50.0,Kent Nelson,No alter egos found.,['Nabu'],-,"More Fun Comics #55 (May, 1940)",DC Comics,good,Male,Human,"[""6'2"", '188 cm']","['197 lb', '89 kg']",Blue,Blond,-,"Tower of Fate, Salem, Massachusetts","Formerly All-Star Squadron, Justice Society of America, Justice League International, Black Lantern Corps","Inza Cramer (wife), Sven Nelson (father, deceased), Celestine Babcock (mother), Kent Nelson, Jr. (son), Aaron Babcock (uncle), Kent V. Nelson (grand-nephew), Laryn Nelson (great grand-niece)",https://www.superherodb.com/pictures2/portraits/10/100/676.jpg
225,Doctor Octopus,94.0,48.0,33.0,40.0,53.0,65.0,Otto Octavius,No alter egos found.,"['Doctor Octopus', 'Doc Ock', 'The Master Planner', 'The Master Programmer', 'Peter Benjamin Parker', 'Superior Spider-Man', 'Venom', 'Superior Venom']","Schenectady, New York",Amazing Spider-Man #3 (July 1963),Marvel Comics,bad,Male,Human,"[""5'9"", '175 cm']","['245 lb', '110 kg']",Brown,Brown,"Former atomic-research consultant, criminal mastermind",New York City,Thunderbolts Army; Former leader of the Sinister Six and the Masters of Evil V; Former partner of Green Goblin,-,https://www.superherodb.com/pictures2/portraits/10/100/622.jpg
226,Doctor Strange,100.0,10.0,12.0,84.0,100.0,60.0,Stephen Strange,No alter egos found.,"['Sorcerer Supreme', 'Master of the Mystic Arts', 'Stephen Sanders', 'Captain Universe', 'Vincent Stevens']","Philadelphia, Pennsylvania","Strange Tales #110 (July, 1963)",Marvel Comics,good,Male,Human,"[""6'2"", '188 cm']","['180 lb', '81 kg']",Grey,Black,"Sorcerer Supreme, retired neurosurgeon",-,"Defenders, underground Avengers; formerly the Order, Midnight Sons; former disciple of the Ancient One","Eugene (father, deceased), Beverly (mother, deceased), Victor (Khiron, brother, apparently deceased), Donna (sister, deceased), Clea (wife, estranged), Umar (mother-in-law), Orini (father-in-law), Dormammu (uncle-in-law)",https://www.superherodb.com/pictures2/portraits/10/100/55.jpg
227,Domino,63.0,10.0,27.0,28.0,49.0,74.0,Neena Thurman,No alter egos found.,"['Dom', 'Samantha Wu', 'Tamara Winter', 'Elena Vladescu', 'Jessica Marie Costello', 'Luisa Mendoza', 'Beatrice', 'Christina Elizabeth Alioso', 'Priscilla Sutherland', 'Hope Eldridge']","Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,good,Female,Human,"[""5'8"", '173 cm']","['120 lb', '54 kg']",Blue,Black,-,-,X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/902.jpg
230,Doomsday,75.0,100.0,67.0,100.0,100.0,90.0,Doomsday,No alter egos found.,['The Ultimate Lifeform'],Krypton,Superman: The Man of Steel #17 (Nov 1992),DC Comics,bad,Male,Alien,"[""8'0"", '244 cm']","['915 lb', '412 kg']",Red,White,Destroyer,-,"Secret Society of Super Villains, Suicide Squad, Apokolips",-,https://www.superherodb.com/pictures2/portraits/10/100/679.jpg
233,Dr Manhattan,88.0,100.0,42.0,100.0,100.0,42.0,Jonathan Osterman,No alter egos found.,"['Jon Osterman', 'Doctor Manhattan']",-,"Watchmen #1 (September, 1986)",DC Comics,good,Male,Human / Cosmic,"['-', '0 cm']","['- lb', '0 kg']",White,No Hair,Scientist,New York City; formerly Mars,"Watchmen, Crimebusters",-,https://www.superherodb.com/pictures2/portraits/10/100/884.jpg
234,Drax the Destroyer,56.0,80.0,25.0,85.0,46.0,65.0,Arthur Sampson Douglas,No alter egos found.,['-'],"Burbank, California","Iron Man #55 (February, 1973)",Marvel Comics,good,Male,Human / Altered,"[""6'4"", '193 cm']","['680 lb', '306 kg']",Red,No Hair,-,C.I.T.T.; formerly Monster Isle and Titan,"Guardians of the Galaxy; formerly Infinity Watch, Secret Defenders, United Front, Selects of the Phalanx","Yvette Steckley Douglas (wife, deceased), Heather Douglas (aka Moondragon, daughter), Pamela Douglas (aka Sundragon, niece), Cammille Benally (foster daughter), Venom (former symbiote)",https://www.superherodb.com/pictures2/portraits/10/100/10016.jpg
236,Elastigirl,63.0,32.0,33.0,95.0,52.0,70.0,Helen Parr,No alter egos found.,['Mrs Incredible'],-,"The Incredibles (Movies, 2004)",Dark Horse Comics,good,Female,Human,"[""5'6"", '168 cm']","['125 lb', '56 kg']",Brown,Brown,-,-,"Incredible Family (co-leader), National Supers Agency (ties), Edna Mode (receives costumes and gadgets from her), Frozone (long-time friend), Mirage (ally), Snug Porter (receives aircraft from him)","Robert Parr(Mr Incredible, husband), Violet Parr(Violet, daughter), Dashiell Parr (Dash, son), Jack-jack (son)",https://www.superherodb.com/pictures2/portraits/10/100/870.jpg
237,Electro,69.0,10.0,50.0,56.0,67.0,64.0,Maxwell Dillon,No alter egos found.,['-'],-,Amazing Spider-Man #9 (1964),Marvel Comics,bad,Male,Human,"[""5'11"", '180 cm']","['165 lb', '74 kg']",Blue,Auburn,Professional criminal,-,"Sinister Six formerly Emissaries of Evil, Frightful Four and Sinister Twelve","Norma Lynn Dillon (ex-wife), Jonathan Dillon (father, deceased), Anita Dillon (mother, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/7.jpg
238,Elektra,63.0,11.0,30.0,28.0,59.0,100.0,Elektra Natchios,No alter egos found.,['Erynys (evil self)'],-,Daredevil #168,Marvel Comics,good,Female,Human,"[""5'9"", '175 cm']","['130 lb', '59 kg']",Blue,Black,"Assassin, adventurer, mercenary, former student, dancer",-,"S.H.I.E.L.D.; formerly Thunderbolts, Hand, Chaste, Heroes For Hire, Code Red, partner of Daredevil and Deadpool","Hugo Kostas Natchios (father, deceased), Christina Natchios (mother, deceased), Orestez Natchios (older brother), Demetrios Natchios (Uncle), Alexia Natchios (Aunt)",https://www.superherodb.com/pictures2/portraits/10/100/625.jpg
242,Enchantress,63.0,14.0,25.0,60.0,100.0,40.0,June Moone,No alter egos found.,"['Anita Soulfeeda', 'Soulsinger']",-,Strange Adventures #187,DC Comics,good,Female,Human,"[""5'6"", '168 cm']","['126 lb', '57 kg']",Blue,Blond,Artist; Magician,-,"Forgotten Villains, Sentinels of Magic, Shadowpact, Suicide Squad",-,https://www.superherodb.com/pictures2/portraits/10/100/687.jpg
246,Etrigan,50.0,85.0,17.0,100.0,100.0,50.0,Jason Blood,No alter egos found.,['Demon'],Hell,"Demon #1 (September, 1972)",DC Comics,neutral,Male,Demon,"[""6'4"", '193 cm']","['452 lb', '203 kg']",Red,No Hair,-,Hell,"Formerly Justice League of America, Spirit Squad","Belial (father), Raan va Daath (mother), Merlin (half Brother)",https://www.superherodb.com/pictures2/portraits/10/100/10429.jpg
247,Evil Deadpool,69.0,32.0,50.0,100.0,100.0,100.0,Wade Wilson,"Deadpool, Venompool",['Dreadpool'],-,"Deadpool Vol 2 #44 (December, 2011)",Deadpool,bad,Male,Mutant,"[""6'2"", '188 cm']","['210 lb', '95 kg']",White,Red,"Mercenary, Assasin",-,Evil Deadpool Corps,-,https://www.superherodb.com/pictures2/portraits/10/100/10090.jpg
248,Evilhawk,50.0,32.0,33.0,70.0,85.0,64.0,Dargin Bokk,No alter egos found.,['-'],-,"Darkhawk #20 (October, 1992)",Marvel Comics,bad,Male,Alien,"[""6'3"", '191 cm']","['235 lb', '106 kg']",Red,Black,Crimelord,(Formerly) planet Luq,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1516.jpg
249,Exodus,63.0,81.0,28.0,28.0,100.0,70.0,Bennet du Paris,No alter egos found.,['Paris Bennet'],-,"X-Factor #92 (July, 1993)",Marvel Comics,bad,Male,Mutant,"[""6'0"", '183 cm']","['195 lb', '88 kg']",Blue,Black,"Terrorist, would-be conqueror, Former leader of the Acolytes, Crusader","Currently mobile, Formerly Avalon","Acolytes, formerly Brotherhood and Marauders",-,https://www.superherodb.com/pictures2/portraits/10/100/1517.jpg
251,Falcon,38.0,13.0,50.0,28.0,22.0,64.0,Sam Wilson,No alter egos found.,"['Sam Wilson', '(formerly) Captain America', 'Blackbird', 'Blackwing', 'Brother Superhero']","New York, New York","Captain America #117 (September, 1969)",Marvel Comics,good,Male,Human,"[""6'2"", '188 cm']","['240 lb', '108 kg']",Brown,Black,"Crimefighter, (former) freelance artist","New York, New York; formerly Avengers Mansion, New York City, New York; S.H.I.E.L.D. Helicarrier.","Mighty Avengers, Avengers, S.H.I.E.L.D.; partner of Redwing; formerly Heroes For Hire, partner of Captain America, Secret Avengers, S.H.I.E.L.D. Super-Agents (leader), Defenders, ally of Secret Warriors , Defenders for a Day","Paul Wilson (father, deceased); Darlene Wilson (mother, deceased); Sarah Wilson (sister), Gideon Wilson (brother); Jim Wilson (nephew, deceased); Jody Casper (nephew)",https://www.superherodb.com/pictures2/portraits/10/100/56.jpg
253,Faora,88.0,95.0,75.0,100.0,98.0,90.0,Faora Hu-Ul,No alter egos found.,['Katie'],-,"Action Comics #471 (May, 1977)",DC Comics,bad,Female,Kryptonian,"['-', '0 cm']","['- lb', '0 kg']",-,-,Serial killer,Phantom Zone; formerly Krypton,Phantom Zone Criminals,"Hu-Ul (father, presumably deceased)",https://www.superherodb.com/pictures2/portraits/10/100/1502.jpg
259,Firestar,50.0,8.0,54.0,55.0,71.0,32.0,Angelica Jones,No alter egos found.,"['Angel', 'Anj', 'Lady Comet']",Place of birth unknown,"Uncanny X-Men #193 (May, 1985)",Marvel Comics,good,Female,Mutant,"[""5'8"", '173 cm']","['125 lb', '56 kg']",Green,Red,Student,"New Warriors Crash Pad, New York City, New York State; Avengers Mansion, New York City, New York State; and formerly Massachusetts Academy, Snow Valley, Massachusetts","New Warriors Reservist, Avengers Reservist, and Former Hellion and student of the White Queen","Bartholomew Jones (father), Nana (grandmother)",https://www.superherodb.com/pictures2/portraits/10/100/60.jpg
261,Firestorm,38.0,80.0,58.0,80.0,100.0,40.0,Ronald Raymond,No alter egos found.,"['Ronnie', 'Roy', 'Ronald Rockwell', 'Flamehead']",-,"Firestorm #1 (March, 1978)",DC Comics,good,Male,Human,"[""6'2"", '188 cm']","['202 lb', '91 kg']",Blue,Auburn,Adventurer; former employee of Bun 'n Run,"Formerly Manhattan, New York City; Ivy University, Ivy Town; Pittsburgh, Pennsylvania","Firestorm Matrix, Justice League,formerly Black Lantern Corps, Power Company, White Lantern Corps","Edward Raymond (father); Elaine Rockwell (mother, deceased); Felicity Smoak-Raymond (stepmother); Richard Dare (grandfather)",https://www.superherodb.com/pictures2/portraits/10/100/10395.jpg
263,Flash,63.0,10.0,100.0,50.0,68.0,32.0,Jay Garrick,No alter egos found.,"['Jay Garrick', 'Siegfreid the Speedster']","Hibbardsville, Kansas",Flash Comics #1 (January 1940),DC Comics,good,Male,Human,"[""5'11"", '180 cm']","['179 lb', '81 kg']",Blue,Brown / White,"Research Scientist, part-time Director of Garrick Laboratories","Keystone City, Kansas","Justice Society of America, Flash Family; formerly All-Star Squadron","Joseph Garrick (father), Joan Williams (wife), Arthur Williams (father-in-law), unnamed adopted son (deceased), Bart Allen (Flash II, ward)",https://www.superherodb.com/pictures2/portraits/10/100/891.jpg
